Id,Start,Name,Impact,Currency
adb976a0-70e2-4451-b790-cb022b4d5303,02/09/2021 07:00:00,Current Account n.s.a.,LOW,EUR
fdd4103c-89d1-4154-8e9f-b585ef463275,02/09/2021 07:00:00,Imports (MoM),LOW,EUR
bfd3f1e5-90b3-484b-b799-6a6e80bafb5b,02/09/2021 09:00:00,Industrial Output s.a. (MoM),LOW,EUR
20827ce0-9ffe-4e2d-8bbd-ef843b1d6d71,02/09/2021 09:00:00,Industrial Output w.d.a (YoY),LOW,EUR
d55dc388-f278-4955-8171-b04f0d58868e,02/09/2021 09:40:00,12-Month Letras Auction,LOW,EUR
90747602-4b54-4d00-8034-f0f35cb49185,02/09/2021 09:40:00,6-Month Letras Auction,LOW,EUR
48e48c25-dd99-41c5-b385-c4631fd609e6,02/09/2021 11:00:00,NFIB Business Optimism Index,LOW,USD
9dbf5ea9-fc69-4f45-964b-55ccb1d8bf48,02/09/2021 13:55:00,Redbook Index (YoY),LOW,USD
d16301e9-eb4b-45e6-95b6-04608033e13b,02/09/2021 13:55:00,Redbook Index (MoM),LOW,USD
37ce8dd7-9537-4e24-add5-176e69ba39eb,02/09/2021 15:00:00,JOLTS Job Openings,LOW,USD
